member,role,wdc,url,affiliation,location,lat,long
Jörg Klausen,chair,GAWSIS,https://gawsis.meteoswiss.ch,Federal Office of Meteorology and Climatology MeteoSwiss,"Zürich, Switzerland",47.376888,8.541694
Martin Schultz,,,,IEK-8 Forschungszentrum Jülich,"Jülich, Germany",50.921009,6.361200
Øystein Godøy,,,,Met Norway,"Oslo, Norway",59.913868,10.752245
Ellsworth J. Welton,,,,NASA Goddard Space Flight Center,"Greenbelt, MA, USA",39.004610,-76.875670
Gao Chen,,,,NASA Langley Research Center,"Hampton, VA, USA",37.0862515,-76.3830686
Vincent-Henri Peuch,,,,European Centre for Medium-Range Weather Forecasts,"Reading, United Kingdom",51.455040,-0.969090
Tom Kralidis,Ex-officio,WOUDC,https://woudc.org,"Environment and Climate Change Canada, Meteorological Service of Canada","Toronto, ON, Canada",43.781376,-79.468222
Atsuya Kinoshita,Ex-officio,WDCGG,https://gaw.kishou.go.jp,Japan Meteorological Agency,"Tokyo, Japan",35.689487,139.691711
Anatoly Tsvetkov,Ex-officio,WRDC,http://wrdc.mgo.rssi.ru,Main Geophysical Observatory,"St. Petersburg, Russia",59.934280,30.335098
Chris Lehmann,Ex-officio,WDCPC,http://wdcpc.org,Illinois State Water Survey,"Champaign, IL, USA",40.116330,-88.243520
Markus Fiebig,Ex-officio,WDCA,http://www.gaw-wdca.org,Norwegian Institute for Air Research,"Kjeller, Norway",59.974998,11.047490
Kjetil Tørseth,Ex-officio,WDCRG,http://www.gaw-wdcrg.org,Norwegian Institute for Air Research,"Kjeller, Norway",59.974998,11.047490
Julian Meyer-Arnek,Ex-officio,WDC-RSAT,http://wdc.dlr.de,Deutsche Luft- und Raumfahrt (DLR),Germany,48.074530,11.248310
Stoyka Netcheva,WMO Secretariat,,https://www.wmo.int,World Meteorological Organization,"Geneva, Switzerland",46.204391,6.143158
