Name,Description,Child
sand-and-dust,Sand and dust,None
air-pollution,Air pollution,None
fires,Fires,None
ozone-and-ultraviolet-radiation,Ozone and ultraviolet radiation,None
nuclear-fallout,Nuclear fallout,None
volcanic-activity,Volcanic activity,None
